喂遲啲去唔去旅行啊	ssssssbes
有轉過𡃉都	sssss
頻唔頻密吖	ssbes
誒都唔頻密	sssbe
即係衡量自己做嘢嗰方面嘅金錢供給唔到吖嗎	bebebebesbesbebessss
哦	s
喀喀	ss
噉你有冇打算會喺將來日子會再去轉呢	ssbebessbebesssss
會𡃉	ss
哦	s
有個問題想問一問就係你點樣可以知道你得到更多嘅資料係有關哩啲音響𡃉呢	ssbesssssssbebebesbesssbesbebebess
誒睇啲音響書囖	sssbess
同埋同啲朋友交流下囖	bessbebess
哦	s
即係你圍內都好多朋友嘅	besbesbebes
誒係啊	sss
都即係得閒就去啲音響公司睇下囖	sbebesssbebesss
即係話誒去哩啲音響公司啊或者睇雜誌都得到各方面嘅資料嘅	besssbebebesbesbesbesbesbes
係啊	ss
即係越睇你就越覺得自己嗰部機係越唔夠𡃉	besssssbebessssssss
哦	s
噉我想問下你哩啲音響係除咗愛來聽歌之外重有冇其他用途𡃉	ssssssbebesbessbebesbebebes
誒睇下啲叫做喇即係而家叫睇吓啲影碟啊	ssssbesbebessssbes
可以即係試到佢嘅重播效果囖	bebessssbebes
覺得好似即係好正噉囖	bebebessss
你明知係假	sbess
係即係佢嗰隻碟再播返出來嗰啲嘅音響囖	sbesssssssbebesbes
我想問吓你而家嗰啲嗰啲係唔係唔流行嚹"肯定"	sssssbebebesbesbessbes
就唔係唔流行𠸏	sbesbes
其實就係係好好一部機來𠸏	bessssssssss
喀喀	ss
就係佢而家即係可能係啱啱出就嗰啲碟就比較少咗	sssbebebesbessbessbess
所以呢就市場呢暫時係做唔到咁好囖	bessbesbesssssss
即係比起一般嘅而家重係可以站穩啲囖	bebebesbessbebess
係唔係日本嗰便來𡃉啲	sbebebesss
誒都有好多國家𡃉	sssbebes
哦	s
即係香港都有得賣嘅嗰啲機	bebesbessbes
而家一路有𡃉嚹而家	bebesssbe
但係就冇乜人	bessss
就市場其實就會好大𠸏日後就	sbebesssssbes
即係暫時佢暫時佢未做喺香港未有好多公司即係未傾掂嗰啲或者嘅解碼啊誒	bebesbessssbessbebebesbebebesbess
即係限制咗囖開頭就	bebessbes
即係日後我諗都個市場都好大𠸏應該	bebessssbessssbe
即係如果日後有哩個相對嘅貨品可以供給你嘅話你都會嘗試買一部嘅	bebebesbebesbebebesbesssbessss
會考慮𡃉	sbes
因為我覺得佢係高解像過啲囖	besbessbmesss
你高解像其實即係乜嘢唧	sbmebebebes
誒佢嗰啲叫做線啊	ssbebess
即係好似我哋睇電視誒幾多百線幾多百線噉囖	bebebesbesbessbessss
哦	s
噉而家佢呢係最高呢係五百線𠺢嗎	sbesssssssbesss
噉如果佢相比來講你部電視機而家好多都係六百零線啊七百線都好好高解像	sbesbessssbmebebessbesssbessssbme
哦	s
即係畫面靚啲質素	bebessbe
係嘞	ss
即係如果你譬如而家某牌子嗰啲假金魚缸呢係千幾線咪好高解像囖	bebesbebesbebesbmesssssssbmes
所以你睇埋去即係如果你鍾意玩音響呢就追求哩啲𡃉喇	bessssbebesbesbessbebess
就係鍾意嗰啲金魚缸	ssbebebme
即係唔係	bebe
追求誒嗰啲叫做高解像嗰啲啊	besbebebmebes
哦	s
即係嗰啲質素嘅機	bebebess
係嘞	ss
即係靚啲	bess
噉好似你睇電去到睇電影來講來比較呢都已經好似屋企就係一個小電影來	sbessssssbesssbessbebebesssssbes
我想問吓電視係唔係越大越好𡃉	ssssbesbesssss
睇嘢或者	ssbe
視乎你個屋企囖	bessbes
如果你屋企大嘅噉𠻺梗係大電視睇個效果會好啲囖	besbessssbesbessbessss
嗯	s
噉如果而家一般都誒香港呢都好流行𡃉嚹啲即係叫做家庭影院自己	sbebebessbesssbesssbebebebebe
喀即係點啊	sbess
即係好多都鍾意即係買部噉嘅機連電視機配合返誒或者啊呢	bebesbebessssssbmebessbess
喀	s
其實有個問題呢而家咪好興啲翻版𠸏	bessbesbessssbes
其實啲人話用翻版會影響部機甚至會整到部機壞𡃉喎	bessssbesbessbessssssss
係唔係真𡃉	sbess
應該係嘞	bess
因為佢製作呢一定冇人哋真嗰啲即係正版嘅製作咁好𡃉嚹比較粗製濫造啲囖	besbesbesbesbebebesbessssbebmmess
即係我我我本身我就唔鍾意用啲翻版嘢𡃉	besssbesssbessbess
嗯	s
即係又好乜嘢都好我都唔鍾意𡃉	bessbesssssbes
即係我驚第一即係你鍾意玩你就會錫嗰部機	bessbebesbessssssss
即係冇理由話係為咗少少嘅金錢而部機壞嗰陣時損失重大	besbessbebesbessssbmebess
寧願唔夠嘅唔買住囖	besssssss
但係有陣時可能唔單只係錢嘅問題	bebmebesbesssbe
而係話因為有啲佢係好同步可以同誒市場嘅即係市面上嘅影院啊	sssbesssssbebessbesbebessbes
哩啲要睇個人嚹	bessbes
你點取捨	ssbe
鍾意就多啲囖	bessss
哦	s
因為呢第一音響係冇咁好囖	besbebesssss
同埋畫面呢就好似一般嘅錄影機噉囖	bebessbebesbmess
噉我都唔追求錄影機嘞重點解要睇呢	ssssbebmessbesss
哦	s
但係個問題係佢啲嘢新喎	besbessssss
即係佢可以同步	besbebe
噉如果你而家譬如佢相對睇一部戲來講佢都係遲三個月至四個月度啫	sbesbebesbesssssssssssssssssss
噉如果你係鍾意嗰種效果呢你都唔爭在等埋嗰一陣𡃉喇	sbessbessbesssbmesssbess
喂呀聽講呢你上個禮拜呢上上下堂喊喎	ssbessssbesssssss
點解𠸏	bes
係啊	ss
有一日呢我上上下堂噉有個學生傾偈	ssssssssssssbebe
噉我呢就誒整咗個口罩噉就幫佢戴咗上個口嗰度喇	ssssssssbesssssssssbes
噉就諗住呢殺一警百嘅	sssssbmmes
噉就等佢唔傾偈噉其他同學呢都可以安靜噉上堂	sssssbesbebessbebesbe
因為嗰個同學呢好多嘴啊佢坐正成班嘅中間噉呢成日周圍同左右啊前後	bebebessbesssssssbessbebessssss
傾到我已經係俾咗好多次機會佢佢都根本冇珍惜過	sssbesssbesbesssbesbes
噉所以呢我先至用個口罩誒笠住佢個口	sbessbessbessssss
噉呢但係戴咗上去之後呢可能佢覺得好瘀喇	ssbessbebesbesbesss
啲同學會笑佢喇	sbessss
噉所以呢佢就好嬲囖噉跟住呢佢就將個口罩抌咗落地下就發脾氣	sbesssssssbesssssbesssbesbme
噉成班同學都望住佢	sssbessss
噉我亦都好嬲囖噉呢就叫咗佢出門口嗰度就問佢究竟乜嘢事噉樣樣嘞	ssbessssssssssbebesssbebesbmes
噉跟住傾嘅過程之中佢係好唔忿氣囖覺得我噉樣做唔啱囖	sbessbebesssbmesbesbessss
噉但係我解釋咗俾佢聽之後誒我都覺得佢唔明白囖	sbesbessssbesssbessbes
噉我又自己又好激動噉所以呢我就喊咗出來	sssbessbesbesssssbe
噉嗰日我亦都冇帶同學落去小息噉𠻺叫班長帶隊	sbesbessbebebesssbess
噉但係啲同學知道成班同學知道我喊呢噉佢哋衝晒上來我間房度問我乜嘢	sbesbebessbebessssbessbessssssbe
哦	s
噉而家嗰個學生呢有冇乖返呢	sbebebesbesss
嗰個學生其實係其中一個傾偈	bebebesbessbe
只不過佢係比較傾得多	bmessbesss
噉佢嗰日呢都寫咗封道歉信俾我	ssbesssssbesss
因為有其他先生話佢噉樣做即係激嬲老師唔啱喇	besbebessbesbebebesss
噉另外哩個同學都供咗其他同學啲名出來話上堂重有邊啲同學係傾偈啊	sbebebesssbebessbesbessbebesbes
噉嗰啲同學全部都有寫道歉信俾我囖	sbebebesssbessss
噉我收道歉信嗰陣時又覺得誒"唉算喇	sssbesbmesbesssss
都係細路仔來啫	ssbmess
佢哋都可能有時控制唔到啫原諒佢哋喇	besbebebesssbebes
"但係誒跟住幾日嘅上堂情況係有誒明顯嘅好轉囖	sbesbesssbebesssbesbes
但係佢哋依然都有間歇性噉傾偈囖	bebebessbmesbes
噉我諗你話呢	ssssss
你覺得佢哋知唔知錯啊	sbebesssss
嗯我覺得呢佢哋噉樣呢其實佢哋自己起碼有錯先喇	ssbesbebesbebebebessss
佢哋有乜理由會噉樣對待啲先生呢	bessbesbebesbes
同埋我諗佢哋已經開始呢知道呢自己有錯𡃉嚹	bessbebebesbesbessss
佢哋啲行為呢都好似呢啊衝動咗少少喇	besbessbessbesbes
當住全班面前啊抌咗個口罩啊	ssbebessssbes
噉樣呢噉嘅行為佢哋都知道自己都唔啱𡃉其實	besssbebesbebessssbe
而且佢哋都知道呢激親先生呢所以呢嗰個學生呢都而家而家都寫返封道歉	bebesbesssbesbesbebessbebessssbe
都已經我諗佢都已經知道自己錯𡃉嚹	sbessssbebebesss
我希望佢噉諗囖	sbessss
但係其實我諗佢哋隔一段日子呢忘記咗哩件事之後呢又會重蹈覆轍噉樣去做囖	bebessbesssbesbessssbesssbmmebesss
不過算喇	bess
教書係噉𡃉嚹實有啲開心唔開心嘅嘢	besssssssbesbess
噉你呢有冇啲乜嘢開心嘅嘢	sssbesbebess
嗯好啊	sss
不如我講啲開心嘅嘢喇	besssbesss
我呢上堂嘅時候呢嗯如果嗰啲學生呢嗯如果佢啲學生嗰日呢特別安靜特別乖	ssbesbessbebebessbessbebesbebebes
譬如呢嗰啲學生誒嗰日特別曳啊多嘢講啊我就會特別唔開心𡃉嚹	besbebesbebesssssssssbesbess
同埋呢我近排呢有個學生退咗學啊	bessbesssbessss
嗰個學生呢我話俾全班同學知嗰個學生嗰個同學退學嘅時候呢全班同學都唔鐘意	bebessssbebesbebebebebesbesbebessbe
點解啊	bes
誒因為呢嗰個同學呢佢係呢原來呢之前係個家長呢對佢呢太過管得犀利過頭嚹	sbesbebessssbesbessbessssbessbebes
噉呢所有嘢佢都控制晒佢喎	ssbesssbesss
譬如包括晒佢哋早午晚三餐都控制晒喇譬如話朝頭早食早餐就一定要係食邊幾	bebesbessssssbessbesbmesbesbesssss
到到午餐嚹到到小息嘅時候呢個家長就會要拎埋晒啲嘢食來到學校送俾個	ssbesssbesbessbesssssssbebebesss
好嚹唔單止哩樣嘢喎	ssbmebess
噉嗰個學生呢佢上堂嘅情形哩個家長呢都會呢入來睇佢𡃉喎	sbebessbesbebebessssbessss
甚至乎佢就會呢關注到呢學生嘅空氣流通嘅問題喎	bmessssbessbesbebesbes
如果個學校呢嗰日呢誒譬如話冇打開窗嘅話個家長呢就會話一定要打	besbesbessbessbesbesbessssbess
噉所以而家學校呢喺我個課室又一定要開住個冷氣機嘞	sbebebessssbesbessssbmes
同埋呢嗰個同學呢一到小息呢係爸爸媽媽呢會入來睇佢放小息𡃉喎	besbebesssbessbebessbesssbess
噉所以呢爸爸媽媽同埋佢一齊嘅時候呢噉嗰啲學生其他同學呢就唔敢同哩個同學	sbesbebebesbesbessbebebebesssssbebe
噉所以哩個同學就已經退咗學𡃉嚹	sbebebesbesssss
所以我都覺得嗯哩個同學退學呢我都覺得有少少開心啊	bessbesbebebesssbesbebes
噉其他同學點睇啊	sbebesss
其他同學呢誒其實呢都唔鐘意佢𡃉	bebessbesssbess
因為呢佢唔多出聲喇而且呢又成日投訴人哋喎	bessssbesbessbebebes
告哩個告嗰個一係呢就話佢傾偈啊一係呢就話佢喺度抌垃圾啊一係就	sbesbebessssbesbessssbesbesbes
或者呢有隻烏蠅飛過呢都會話俾老師知呢個烏蠅會騷擾到佢上堂𡃉	besssbebesssssbesssbesbessbes
所以呢哩個學生係好麻煩𡃉	besbebessbes
所以佢一退學我就會好開心𡃉嚹	bessbessssbess
噉呢其實呢我都有啲開心嘢𠸏	ssbesssssbess
唔可以話成日教書都唔開心𠸏	sbesbebessbes
譬如佢譬如我教中文噉喇	besbessbess
噉默書呢如果佢哋有一次好多人唔合格呢噉當然會好嬲喇	sbesbebesssbessbessbessss
噉鬧咗佢哋一餐噉跟住呢就會留嗰啲唔合格嘅同學喺度同佢哋溫習啊默書	sssbesssbessssbesbesbebesbebesbe
噉默到呢收尾呢來𡁵而家多數呢默書都會全班合格𡃉嚹	ssssbesssbebesbessbebess
即係最多都係某一兩個同學特別差所以唔合格𡃉唧	bessssssssbebesbesbess
噉自己都會覺得有份成功感喺度囖	sbessbessbmebes
嗯我都係啊	sssss
其實呢如果啲學生呢默得默得好呢拎一百分呢或者成績好呢測驗高分呢我	besbesbessssssssbessbebessbessss
啊你有冇獎勵佢哋𡃉	ssbebebes
我呢每個學期呢都會計返誒如果默書高分嗰幾個同學特別高分幾個同學	ssssbessssssbebesssssbebessssbe
同埋測驗考試攞高分呢我都獎禮物俾佢哋	bebebesssssssbesbe
噉佢哋都會好開心	sbesssbe
所以啲同學都會為咗攞嗰啲禮物有一個目標俾自己佢哋會努力啲讀我嗰科囖	besbessbesbebesssbesbebesbessssss
係啊	ss
我都覺得哩個方法呢會好啲𡃉	ssbebebesssss
我呢都係誒整咗一張大嘅人名表喇	sssssssssssbess
如果每次嗰個同學攞一百分呢我就黏個貼紙喺佢個名側邊喎	bessbebesbessssssbessssbes
噉如果儲夠五次貼紙嘅話我就會獎個禮物俾佢𡃉喎	sbessssbebesssssbessss
中文默書喇英文默書都係喎	bebesbebesss
噉所以呢啲同學呢我覺得獎勵方法呢都會係特別開心啲𡃉對於同學	sbessbessbebebessssbebessbebe
嗯其實教書苦樂參半𠸏	sbebebmmes
睇下你自己識唔識得去平衡返嗰個誒同學生嘅關係啊你自己去嗰個喜怒哀樂	sssbessbesbesbessbesbessbesbebmme
嗯係啊我都好贊同哩個哩樣哩樣哩樣講嘢哩樣講法	ssssssbebebebebebebebe
開始	be
我想問你呢乜嘢叫做股啊	sssssbebess
股係哩近兩三年一種嘅新興股票	ssssbessssbebe
噉即係乜嘢啊	sbebes
股泛指中國國家所擁有嘅資產同埋業務	sssbebesbesbebebe
你可唔可以講得自然啲啊	sssbessbess
繼續	be
係囖	ss
噉即係乜嘢啊	sbebes
噉即係呢即係好似普通嘅香港上市公司一樣囖	sbesbebebesbebebebes
但係佢哋個老細係大陸中國政府囖	bebesbesbebebes
哦	s
中國政府嘅	bebes
噉呢我想知重有嗰啲誒而家香港呢又乜嘢紅籌啊藍籌啊嗰啲有乜嘢	sssssbebesbebessbebesbesbesbe
哦好簡單𡃉咋	ssbess
藍籌呢就係泛指一啲香港資產值非常之巨大嘅嘅嘅股票	besssssbebebmebesbesssbe
例如匯豐長江恆生銀行啊嗰啲銀行銀行股啊地產股啊新鴻基地產啊嗰啲噉	bebebebmmesbebebessbessbmmmesbes
哦	s
嗰啲呀	bes
藍籌呀	bes
噉紅籌即係大陸𡃉嚹係唔係啊	sbebebesssbes
冇錯嚹	bes
紅籌係一個新興嘅名詞	besssbesbe
紅籌股呢其實就係同股差唔多	bmesbessssbme
但係佢哋嘅分別呢就係股呢就係佢哋嘅註冊地呢就喺大陸	bebesbesssssssbesbessssbe
但係佢哋偏偏又喺香港揀來上市因為可以揾大錢吖嗎	bebebessbessbebebesssss
但係紅籌股呢就唔同嘞	bebmessbes
雖然佢哋都係中國國家所擁有但係佢哋就喺香港註冊	bebessbebesbebebessbebe
喺香港註冊呀	sbebes
噉即係間公司其實喺大陸嘅	sbesbebesbes
噉呢佢就喺香港註冊	sssssbebe
噉誒跟住就喺香港炒嘅	ssbessbess
係唔係噉啊	sbess
唔係香港炒香港上市	ssbesbebe
噉賺埋賺埋都唔使唔使跟大陸嗰啲嗰啲嗰啲嗰啲稅收啊利得稅噉來俾	ssssssbebesbebebebebebesbmesss
哦	s
唔使俾嗰啲	besbe
全部都跟香港嚟俾吖嗎	bessbessss
哦	s
噉股呢就跟返大陸𠸏	ssssssbes
係嘞	ss
但係香港人都炒得𠸏	bebmessss
冇錯嘞	bes
股	s
噉個股喺大陸炒唔炒得𡃉	ssssbesssss
股	s
佢本身喺大陸有冇上市𡃉	sbesbebebes
佢本身喺大陸有份賣	sbesbebes
有份賣呀	bess
譬如佢啲股通常喺香港呢就係分開幾部份來上市集資𠺢嗎	besssbesbesssbesbesbebess
哦	s
噉有幾多分有三分一𠻺喺香港集資啊	ssbessbmessbebes
其他三分二海外啊留返啲啲咪俾啲大陸嗰啲人買囖	bebmebesssbesssbebesss
但係大陸買股票好鬼艱難𠺢嗎	bebesbessbess
唔係好簡單𡃉咩	besbess
我見啲人炒炒得好犀利	ssssssssbe
好難嚹	sss
要排隊死𦧲難𦧲先攞到份表啊	sbebmmessssss
攞份表都要俾黑錢死𦧲難𦧲先𦧲入個交易場	ssssssbebmmessssbme
哦	s
買賣股票	ssbe
嘩噉如果入得去嗰啲咪已經係好犀利囖	ssbesssbesbessbes
入到去已經可以賺大錢𡃉嘞	sssbebesssss
即係肯定係賺嘅	bebesss
喺大陸有股票呢已經係發達𡃉嘞	sbesbesbesbess
哦	s
原來噉樣	bebe
哎弊嚹	sss
噉講下紅籌股喇	sssbmes
好啊	ss
紅籌股啊通常係一啲誒中國大粒佬係老細囖	bmesbesbesbebmesbes
係啊係啊係啊	ssssss
有邊啲紅籌股啊香港	sbebmesbe
有隻中信泰富喇	ssbmmes
嘩中信泰富都係紅籌來㗎	sbmmessbess
我以為藍籌𠻹	sbebes
紅籌紅籌	bebe
哩個嘅恆生紅籌成份股啊係啊	besbebmmmesss
噉即係乜嘢啊	sbebes
成份股呀	bmes
可以控制恆生指數嗰個	bebebmmebe
係嘞	ss
恆生指數有佢份𡃉佢嘅人升升升升跌跌	bmmesssssssbebmme
哦	s
噉佢女老細梗係活力先生喇	sssbebebmmes
即係邊個啊	bebes
佢老細係賓騰囖	sbesbes
哦	s
你知邊個咩	ssbes
賓騰跑馬𠺢嗎	bebess
係啊	ss
噉個馬主係邊個	ssbesbe
活力先生吖嗎	bmmess
係啊	ss
嘅馬主咪就係誒乜嘢賓啊	sbessssbess
兩隻馬同馬主	ssssbe
誒叫做誒兩個字嘅	sbesssss
誒死嘞唔記得咗𠻹	sssbmess
三個字啊	ssss
三個字咩	ssss
中國國家副主席個仔啊	bebesbesss
好巴閉呀	sbes
即係邊個	bebe
梗係唔係錢君咩	bebebes
錢	s
誒唔知啊	ssss
榮智建啊懵2	sbesbe
哦	s
22	be
榮智建	sbe
即係榮咩啊	besss
榮毅人咪佢老豆囖	sbessbes
榮毅人中國國家副主席吖嗎	sbebebesbess
係喎係喎	ssss
好叻咩	sss
噉跟住又講下誒越秀投資嘞	sbessssbmmes
越秀都聽過啊	bessss
越秀投豬	bmme
越秀投資呢就係幕後老細係廣東省市長廣東省省長	bmmesssbebesbmebebmebe
嘩你識咁多𠸏	ssssss
越秀投資係廣東省𠺢嗎	bmmesbmess
係咩	ss
係嘞	ss
我識	ss
仲有一隻叫做銀建	bessbebe
嘿哩啲唔識𡃉我都	sbesssss
未聽過	sss
我公司啲人實炒	sbessss
北北控	sbe
去到一千幾二千倍	ssbmmmes
唔係咩	bes
即係完全唔合理嘅一個水平來	bebesbesssbes
係咩	ss
嗰隻就係誒光大明輝	sssssbmme
哦	s
誒光大實業嗰四隻光大股呢	sbmmesssbess
哦	s
噉可能有人幕後操縱喇	sbessbebes
我知我知	ssss
上海市以前市長而家嘅國家嘅哩個誒誒副主席	bmebebebesbesbesssbe
誒朱鎔基	ssbe
都未升坐正十五大先至坐正啊	sssssbmebesss
噉而家即係咩	sbebes
而家朱鎔基係乜嘢啊	besbesbes
做一個閒閒位來𡃉咋朱鎔基	ssssssssssbe
閒係咩	sss
係啊	ss
唔係書記咩	bebes
梗係唔係	bebe
唔係副主席咩	besbes
我記得佢排位嗰陣時係排喺阿邊個邊個邊個後面𡃉喎	sbesbebmessssbebebebess
未升到正吖嗎	ssssss
係咩	ss
而家仲係唔知仲係仲係咩咩委員𠺢嗎未未坐到個最大個位	bebessbebessbesssssssssss
	
係啊	ss
吖嗎	ss
朱鎔基啊	sbes
噉啊講開大陸股呢一定要講下哩個失控喇	ssssbessbesssbebes
失控	be
北控咓失控	besbe
低能	be
失控	be
成個香港人都失控啊	ssbessbes
個個都走去排隊攞表排隊抽獎啊	besbebessbebes
黐線	be
一抽中𠻺即刻有雙倍盈利	ssssbesssbe
乜雙倍啊三倍啊	sssssss
雙倍啊	sss
二萬五一落標價中二千股就二五萬五喇	bmmebmesbessbmmes
但係一開市一第一日即刻4一聲跳到四萬八吖嗎	besbesbesbesssssbmess
二千股就	bess
哦二二	sss
噉都但係而家個股價好似四十幾蚊嘞	ssbebesbebebesss
而家已經五十二蚊嚹升到	bebebmessss
五十二	bme
係囖	ss
係啊	ss
咪好發	sss
北京市市長	bmebe
唔係北京市市長	bebmebe
應該係大陸𡃉嘞	besbess
大陸中央啊	bebes
北京重北京老細重唔係中南海嗰班人	besbebesbebmesss
黐線𡃉	bes
一定㗎	bes
唔噉近吖嗎	sssss
近𠻺係𡃉嗱	sssss
山高黃帝遠	bmmme
你知唔知啊	sssss
""如果你唔好話啊如果江澤民佢佢想發達佢都唔會控北京喇	ssbesbessbesbesssbesssssbes
佢控返上海𡃉啫嗎	sssbesss
集體揾錢吖嗎	bebess
咪係囖	sss
噉又點會北京貴""	ssssbesss
是但喇總之佢就升到42聲喇	besbessssssss
原來啊啲人真係好犀利𡃉	besssbesbes
可以攞一萬蚊呢炒一年啊炒到幾百萬返來𡃉喎	besbessssssssbesbess
係啊	ss
日日哺住喺嗰度咪得	besssbess
係啊	ss
好誇張啊呵	sbess
睇多啲報紙咪得囖	sssbesss
有一次我睇報紙呢話財經誒係唔係叫經濟日報係嘞	sssssbessbessbesbmmess
噉𠻺入邊有一個專欄呢有作家佢就講佢自己呢攞一萬蚊出來做本金喎	ssbesssbessbessssbessbesbesbes
跟住呢就哎吔去炒股票囖	bessbesbmes
炒咗一年度啊就而家已經有成誒三十幾萬佢話	sssssssbebesssbmmess
唔使炒股票呃	bebmes
買馬一日一萬都可以變三十幾萬喇	ssssbesbesbmmes
黐線	be
噉樣真係完全唔同喇	bebebebes
跑馬點同	bess
一模一樣啊都係賭搏啊	bmmesssbes
搞錯啊	bes
同樣都要做好多功課	besssbebe
阿叻話齋"專業又係你班業餘	bebesbessssbe
噉你噉講冇得講喇	ssssbess
我覺得炒股票好似真係好容易揾錢	sbebmebebesbebe
跑馬都好容易𡃉	bessbes
嘩你你睇住嗰隻股票呢你知唔知你已經佢一個價位兩個價位	sssssssbessssssbesssbessbe
我知呃	sss
佢一個起一個跌	sssssss
買出買入買出買入	ssssssss
係囖係囖	ssss
就噉來出去就得𡃉嘞	sssbessss
但係阿叻話啊"股票只不過係一種長線嘅投資	bebesssbebmesssbesbe
噉𠻺梗係喇	ssbes
我夠識哩啲咯	sssbes
你見佢好又炒見佢唔好又炒	ssssssssssss
冇辦法喇噉樣	sbesbe
可以揾快錢嘅一個方法	bessssssbe
揾快錢做肥貓囖	ssssbes
黐線	be
嘩你講乜嘢啊你啊	sssbesss
唔講啊	sss
唔講肥貓呀	ssbes
噉講4343	ssbmme
你都黐線嘅	ssbes
唔好喇	bes
你講快啲講埋佢先喇	sssssssss
噉𠻺噉重有啲乜嘢呢哦	sssbesbess
夠十五分鐘未啊	sbebess
有十五有藍籌藍籌紅籌	sbesbebebe
噉除咗藍籌紅籌股之外重有啲乜嘢啊	sbebebesbebesbes
誒	s
有啲乜嘢𡃉	bebes
香港股市有好多種𡃉	bebesbess
有哩個工業股喇有哩個嘅喇即係公共事業喇有哩個嘅	sbebesssbessbebebessbes
好多股𡃉你攤開份報紙睇吖	besssbesbess
哦	s
即係噉樣呀	bebes
但係通常啲人玩啊就玩誒紅籌啊藍籌啊股啊	bebesssssssbesbesss
股同紅籌係哩兩個哩半年嘅主角	ssbessssssssbe
哦梗係喇	sbes
回歸吖嗎	bess
我都炒個幾嘢	ssssss
有錢嘅話	ssss
你犀利喇	sbes
乜嘢啊我個名𡃉	besssss
你個名但係唔係你嘅錢吖嗎	sssbebesssss
係囖不過我都會晨咁早𠻺賣晒佢	ssbessssssssss
點解啊	bes
黐線嘅鬥估呀同佢	bessssss
幾時○啊點知佢	besssss
3冇咁易喇	sssss
唔緊要喇	bmes
你鍾意買冷定買熱吖	sbessssss
我呀	ss
我鍾意買冷	sbess
你梗係喇買十蚊	sbessss
我都買九十九倍喇學似你阿媽	sssbmesssssbe
唔俾呀	sss
叫你去買一百蚊易九十九倍喇江碧慧	ssssbessbmesssbe
中咗呃	sss
中咗呃	sss
邊隻啊	sss
大瀑布呀	bmes
總之中過一次喇	besssss
你啊重講乜嘢啊大瀑布	ssssbesbme
大瀑布	bme
係喇都唔識買邊隻炒	sssssssss
你真係不知所謂	sbebmme
因為我嗰陣時𠻺唔係好識買	besbmesbesss
走喇	ss
你自己唔相信佢跑出𠻺講乜嘢啊	sbesbesbessbes
係啊	ss
以為佢入𡃉咋	bessss
真係吖	bes
口口聲聲"贏啊大瀑布贏啊	bmmesssbmess
"自己唔走去買喎	sbesbess
嘩真係跑出喇	sbebes
跑出喇	bes
嘩幾開心啊	ssbes
我第一次去睇馬咋嗰次	sbesssssbe
嘩真係跑出喎幾開心啊	sbebessbes
跟住話俾我聽"我冇買到啊	bessssssssss
所以咪輸錢囖嗰日	bessssbe
真係不知所謂	bebmme
服咗你	sss
好嘢夠鐘	ssss
都叫你睇鐘𡃉喇	sssssss
4343	bmme
1111	bmme
'	s
十五分鐘時限已到	bebebess
拜拜	be
11	be
發覺唔夠時間	bessbe
好鬼悶	sss
慘快啲講嘢喇	ssssss
好悶啊	sss
重有五分鐘	besbe
我係咩咩咩廉政公署助理調查主任	sssssbmmebebebe
而家時間係下午十時四十三分	bebesbebebmme
一九九七年八月二十二日	bmmmebebmme
大煩人江碧慧	ssssbe
你想講乜嘢啊	sssbes
去廁所	sbe
唔好咁無聊喇	besbes
黐線	be
你冇睇廉政行動	sssbmme
冇啊	ss
啊係喎	sss
你要返學喎	ssbes
快啲講小芙蓉喇	sssbmes
我想知佢今晚究竟捉到邊個係兇手出來	ssssbebessbesbebe
小芙蓉	bme
咪佢阿哥囖	ssbes
我夠知係佢阿哥咯	sssssbes
哎吔好睇啊	bebes
最衰係你喇	sssss
帶咗人食飯而家乜嘢都冇得睇	sssbebebesbes
小芙蓉	bme
小芙蟲	bme
小情人	sbe
你去死喇	ssss
小芙蓉	bme
好鬼淫賤周海媚	ssbesbe
唔好咩	sss
幾好啊	sss
幾好睇啊	sbes
睇見佢個樣𠻺憎	sssssss
哎吔好慘啊	besss
噉我哋可以講啲乜嘢呢	sbebessbes
哎講啲白黐嘢俾你聽啊	sssbesssss
白黐嘢唔好講嚹	besbess
點解啊	bes
點解啊	bes
我想講啲笑話俾你聽咋喎	ssssbesssss
好啊	ss
琴晚啊有個傻妹啊走來問我嘢喎	bessssssssssss
佢問我呢電腦呢入邊有啲乜嘢	ssssbesbebebe
電腦	be
佢唔係啊	sbes
	
唔係係嘛	bess
噉都唔識	ssss
唔係啊	bes
佢問我呢誒一個電腦入邊有個叫㗎	sssssssbebessss
個單位喎係乜嘢囖	sbessbes
個單位一單一位囖	sbesssss
唔係	be
佢佢佢佢佢問呢電腦點樣儲嘢嘅	sssssssbebesss
噉我解釋俾佢聽	ssbesss
電腦呢個單位係用嘅	bessbesss
佢來講呢係幾多個嘅	sssssbess
啊	s
講𡃉	ss
你講𡃉咩	ssss
最基本嘅單位吖嗎電腦	sbesbessbe
噉你唔會講𠺢嗎你講𠺢嗎	sssssssssss
噉你要話話埋俾哩個低能妹聽	sssssssbebess
我講咗嚹	ssss
我講完之後我就話俾佢聽一個就等如八個	sssbesssssssssbess
佢話"哦	ssss
